xu,yu,xd,yd,ru,rd,rd2,rd_div_ru
-92,-18,18.5,12.5,93.74433316,93.74433316,8788,1
-86,-18,24.5,12.5,87.86353055,87.86353055,7720,1
-80,-18,30.5,12.5,82,82,6724,1
-74,-18,36.5,12.5,76.15773106,76.15773106,5800,1
-68,-18,42.5,12.5,70.34202158,70.34202158,4948,1
-62,-18,48.5,12.5,64.56004957,64.56004957,4168,1
-56,-18,53.5,11.5,58.82176468,60.08327554,3610,1.021446328
-50,-18,59.5,11.5,53.14132102,54.4242593,2962,1.024142009
-44,-18,64.5,11.5,47.5394573,49.76946855,2477,1.046908639
-38,-18,69.5,10.5,42.04759208,45.61797891,2081,1.084912991
-32,-18,74.5,10.5,36.7151195,41.18252056,1696,1.121677421
-26,-18,80.3,9.5,31.6227766,36.8247539,1356.0625,1.164500966
-20,-18,85.8,8.5,26.90724809,33.11438509,1096.5625,1.23068643
-14,-18,92.0,7.5,22.8035085,29.51694429,871.25,1.294403635
-8,-18,99.3,5.7,19.6977156,27.21176108,740.4799411,1.381467863
-2,-18,107.0,5.5,18.11077028,25.24381112,637.25,1.393856293
4,-18,116.5,5.5,18.43908891,25.70992026,661,1.394316193
10,-18,124.3,6.5,20.59126028,27.65976319,765.0625,1.343276847
16,-18,131.0,7.5,24.08318916,30.80990101,949.25,1.279311507
22,-18,137.0,8.5,28.42534081,34.4419802,1186.25,1.211664635
28,-18,142.5,9.5,33.28663395,38.27531842,1465,1.1498705
34,-18,148.0,10.5,38.47076812,42.5,1806.25,1.104734895
40,-18,153.3,11.3,43.8634244,46.90927684,2200.480254,1.069439459
46,-18,158.5,11.5,49.39635614,51.623638,2665,1.045090003
52,-18,163.5,11.5,55.02726597,56.30275304,3170,1.023179183
58,-18,169.5,11.5,60.7289058,61.98386887,3842,1.020665004
64,-18,174.5,12.5,66.48308055,66.48308055,4420,1
70,-18,180.5,12.5,72.277244,72.277244,5224,1
76,-18,186.5,12.5,78.10249676,78.10249676,6100,1
82,-18,192.5,12.5,83.95236745,83.95236745,7048,1
88,-18,198.5,12.5,89.82204629,89.82204629,8068,1
94,-18,204.5,12.5,95.70788891,95.70788891,9160,1
-92,-12,18.5,18.5,92.77930804,92.77930804,8608,1
-86,-12,24.5,18.5,86.83317338,86.83317338,7540,1
-80,-12,30.5,18.5,80.89499366,80.89499366,6544,1
-74,-12,36.5,18.5,74.96665926,74.96665926,5620,1
-68,-12,42.5,18.5,69.05070601,69.05070601,4768,1
-62,-12,48.5,18.5,63.15061362,63.15061362,3988,1
-56,-12,53.5,17.5,57.27128425,58.46366393,3418,1.020819852
-50,-12,59.3,17.5,51.41984053,52.87307916,2795.5625,1.028262216
-44,-12,64.3,17.5,45.607017,48.04229907,2308.0625,1.053397092
-38,-12,69.2,17.1,39.84971769,43.38231024,1882.024841,1.088647869
-32,-12,74.3,16.5,34.17601498,38.85952264,1510.0625,1.137040777
-26,-12,79.5,15.5,28.63564213,34.43835072,1186,1.202639374
-20,-12,84.5,14.5,23.32380758,30.52867504,932,1.308906144
-14,-12,91.0,13.5,18.43908891,25.86986664,669.25,1.402990504
-8,-12,98.0,12.5,14.4222051,21.914607,480.25,1.5195046
-2,-12,106.5,11.5,12.16552506,19.41648784,377,1.596025469
4,-12,117.5,11.5,12.64911064,20.24845673,410,1.600781059
10,-12,125.3,12.5,15.62049935,23.27149544,541.5625,1.489804834
16,-12,132.0,14.0,20,27.10166047,734.5,1.355083023
22,-12,138.1,15.3,25.05992817,31.5087342,992.8003311,1.257335376
28,-12,143.5,16.0,30.46309242,36.04511063,1299.25,1.183238725
34,-12,148.5,16.5,36.05551275,40.49691346,1640,1.123182292
40,-12,153.5,17.5,41.76122604,44.92215489,2018,1.075690519
46,-12,158.5,17.5,47.5394573,49.72926704,2473,1.046062994
52,-12,163.5,17.5,53.36665626,54.5710546,2978,1.022568368
58,-12,169.5,17.5,59.22837158,60.41522987,3650,1.020038678
64,-12,174.5,18.5,65.11528238,65.11528238,4240,1
70,-12,180.5,18.5,71.02112362,71.02112362,5044,1
76,-12,186.5,18.5,76.94153625,76.94153625,5920,1
82,-12,192.5,18.5,82.87339742,82.87339742,6868,1
88,-12,198.5,18.5,88.81441324,88.81441324,7888,1
94,-12,204.5,18.5,94.76286192,94.76286192,8980,1
-92,-6,18.5,24.5,92.19544457,92.19544457,8500,1
-86,-6,24.5,24.5,86.20904825,86.20904825,7432,1
-80,-6,30.5,24.5,80.22468448,80.22468448,6436,1
-74,-6,36.5,24.5,74.24284477,74.24284477,5512,1
-68,-6,42.5,24.5,68.26419266,68.26419266,4660,1
-62,-6,48.0,24.0,62.28964601,62.83709096,3948.5,1.008788699
-56,-6,53.5,23.5,56.32051136,57.42821606,3298,1.019667874
-50,-6,58.5,23.5,50.35871325,52.46903849,2753,1.041905861
-44,-6,63.5,23.5,44.40720662,47.51841748,2258,1.070060945
-38,-6,68.5,23.5,38.47076812,42.57933771,1813,1.106797181
-32,-6,73.5,23.5,32.55764119,37.65634077,1418,1.156605313
-26,-6,78.5,22.5,26.68332813,32.984845,1088,1.236159329
-20,-6,84.0,22.0,20.88061302,27.8298401,774.5,1.332807618
-14,-6,89.5,21.5,15.23154621,22.84731932,522,1.5
-8,-6,96.5,20.0,10,17.5,306.25,1.75
-2,-6,106.0,18.5,6.32455532,12.81600562,164.25,2.026388413
4,-6,118.7,18.6,7.211102551,14.44882488,208.7685403,2.003691499
10,-6,127.0,20.5,11.66190379,19.29378138,372.25,1.654428104
16,-6,133.5,21.5,17.08800749,24.69817807,610,1.445351548
22,-6,139.0,22.5,22.8035085,29.60152023,876.25,1.298112535
28,-6,144.2,22.9,28.63564213,34.58096945,1195.843448,1.207619836
34,-6,149.3,23.5,34.525353,39.37718248,1550.5625,1.140529468
40,-6,154.0,23.5,40.44749683,44.0596187,1941.25,1.089303966
46,-6,158.5,23.5,46.38965402,48.50773134,2353,1.045658399
52,-6,163.5,23.5,52.34500931,53.46026562,2858,1.021305877
58,-6,169.5,23.5,58.30951895,59.41380311,3530,1.018938317
64,-6,174.5,24.5,64.28063472,64.28063472,4132,1
70,-6,180.5,24.5,70.25667228,70.25667228,4936,1
76,-6,186.5,24.5,76.23647421,76.23647421,5812,1
82,-6,192.5,24.5,82.21921916,82.21921916,6760,1
88,-6,198.5,24.5,88.20430828,88.20430828,7780,1
94,-6,204.5,24.5,94.19129471,94.19129471,8872,1
-92,0,18.5,30.5,92,92,8464,1
-86,0,24.5,30.5,86,86,7396,1
-80,0,30.5,30.5,80,80,6400,1
-74,0,36.5,30.5,74,74,5476,1
-68,0,42.5,30.5,68,68,4624,1
-62,0,48.0,30.5,62,62.5,3906.25,1.008064516
-56,0,53.5,30.5,56,57,3249,1.017857143
-50,0,58.5,30.5,50,52,2704,1.04
-44,0,63.5,30.5,44,47,2209,1.068181818
-38,0,68.0,30.5,38,42.5,1806.25,1.118421053
-32,0,73.0,30.5,32,37.5,1406.25,1.171875
-26,0,78.0,30.5,26,32.5,1056.25,1.25
-20,0,83.5,30.5,20,27,729,1.35
-14,0,89.5,30.5,14,21,441,1.5
-8,0,95.5,30.5,8,15,225,1.875
-2,0,104.0,30.5,2,6.5,42.25,3.25
4,0,120.5,30.5,4,10,100,2.5
10,0,127.5,30.5,10,17,289,1.7
16,0,133.5,30.5,16,23,529,1.4375
22,0,139.5,30.5,22,29,841,1.318181818
28,0,144.5,30.5,28,34,1156,1.214285714
34,0,149.5,30.5,34,39,1521,1.147058824
40,0,154.5,30.5,40,44,1936,1.1
46,0,159.0,30.5,46,48.5,2352.25,1.054347826
52,0,164.0,30.5,52,53.5,2862.25,1.028846154
58,0,169.5,30.5,58,59,3481,1.017241379
64,0,174.5,30.5,64,64,4096,1
70,0,180.5,30.5,70,70,4900,1
76,0,186.5,30.5,76,76,5776,1
82,0,192.5,30.5,82,82,6724,1
88,0,198.5,30.5,88,88,7744,1
94,0,204.5,30.5,94,94,8836,1
-92,6,18.5,36.5,92.19544457,92.19544457,8500,1
-86,6,24.5,36.5,86.20904825,86.20904825,7432,1
-80,6,30.5,36.5,80.22468448,80.22468448,6436,1
-74,6,36.5,36.5,74.24284477,74.24284477,5512,1
-68,6,42.5,36.5,68.26419266,68.26419266,4660,1
-62,6,48.0,37.0,62.28964601,62.83709096,3948.5,1.008788699
-56,6,53.5,37.5,56.32051136,57.42821606,3298,1.019667874
-50,6,58.5,37.5,50.35871325,52.46903849,2753,1.041905861
-44,6,63.5,37.5,44.40720662,47.51841748,2258,1.070060945
-38,6,68.5,37.5,38.47076812,42.57933771,1813,1.106797181
-32,6,73.5,37.5,32.55764119,37.65634077,1418,1.156605313
-26,6,78.5,38.5,26.68332813,32.984845,1088,1.236159329
-20,6,84.0,39.0,20.88061302,27.8298401,774.5,1.332807618
-14,6,89.5,39.5,15.23154621,22.84731932,522,1.5
-8,6,96.5,41.0,10,17.5,306.25,1.75
-2,6,106.0,42.5,6.32455532,12.81600562,164.25,2.026388413
4,6,118.7,42.4,7.211102551,14.44882645,208.7685858,2.003691717
10,6,127.0,40.5,11.66190379,19.29378138,372.25,1.654428104
16,6,133.5,39.5,17.08800749,24.69817807,610,1.445351548
22,6,139.0,38.5,22.8035085,29.60152023,876.25,1.298112535
28,6,144.2,38.1,28.63564213,34.58096945,1195.843448,1.207619836
34,6,149.3,37.5,34.525353,39.37718248,1550.5625,1.140529468
40,6,154.0,37.5,40.44749683,44.0596187,1941.25,1.089303966
46,6,158.5,37.5,46.38965402,48.50773134,2353,1.045658399
52,6,163.5,37.5,52.34500931,53.46026562,2858,1.021305877
58,6,169.5,37.5,58.30951895,59.41380311,3530,1.018938317
64,6,174.5,36.5,64.28063472,64.28063472,4132,1
70,6,180.5,36.5,70.25667228,70.25667228,4936,1
76,6,186.5,36.5,76.23647421,76.23647421,5812,1
82,6,192.5,36.5,82.21921916,82.21921916,6760,1
88,6,198.5,36.5,88.20430828,88.20430828,7780,1
94,6,204.5,36.5,94.19129471,94.19129471,8872,1
-92,12,18.5,42.5,92.77930804,92.77930804,8608,1
-86,12,24.5,42.5,86.83317338,86.83317338,7540,1
-80,12,30.5,42.5,80.89499366,80.89499366,6544,1
-74,12,36.5,42.5,74.96665926,74.96665926,5620,1
-68,12,42.5,42.5,69.05070601,69.05070601,4768,1
-62,12,48.5,42.5,63.15061362,63.15061362,3988,1
-56,12,53.5,43.5,57.27128425,58.46366393,3418,1.020819852
-50,12,59.3,43.5,51.41984053,52.87307916,2795.5625,1.028262216
-44,12,64.3,43.5,45.607017,48.04229907,2308.0625,1.053397092
-38,12,69.2,43.9,39.84971769,43.38231024,1882.024841,1.088647869
-32,12,74.3,44.5,34.17601498,38.85952264,1510.0625,1.137040777
-26,12,79.5,45.5,28.63564213,34.43835072,1186,1.202639374
-20,12,84.5,46.5,23.32380758,30.52867504,932,1.308906144
-14,12,91.0,47.5,18.43908891,25.86986664,669.25,1.402990504
-8,12,98.0,48.5,14.4222051,21.914607,480.25,1.5195046
-2,12,106.5,49.5,12.16552506,19.41648784,377,1.596025469
4,12,117.5,49.5,12.64911064,20.24845673,410,1.600781059
10,12,125.3,48.5,15.62049935,23.27149544,541.5625,1.489804834
16,12,132.0,47.0,20,27.10166047,734.5,1.355083023
22,12,138.1,45.7,25.05992817,31.50873466,992.8003601,1.257335394
28,12,143.5,45.0,30.46309242,36.04511063,1299.25,1.183238725
34,12,148.5,44.5,36.05551275,40.49691346,1640,1.123182292
40,12,153.5,43.5,41.76122604,44.92215489,2018,1.075690519
46,12,158.5,43.5,47.5394573,49.72926704,2473,1.046062994
52,12,163.5,43.5,53.36665626,54.5710546,2978,1.022568368
58,12,169.5,43.5,59.22837158,60.41522987,3650,1.020038678
64,12,174.5,42.5,65.11528238,65.11528238,4240,1
70,12,180.5,42.5,71.02112362,71.02112362,5044,1
76,12,186.5,42.5,76.94153625,76.94153625,5920,1
82,12,192.5,42.5,82.87339742,82.87339742,6868,1
88,12,198.5,42.5,88.81441324,88.81441324,7888,1
94,12,204.5,42.5,94.76286192,94.76286192,8980,1
-92,18,18.5,48.5,93.74433316,93.74433316,8788,1
-86,18,24.5,48.5,87.86353055,87.86353055,7720,1
-80,18,30.5,48.5,82,82,6724,1
-74,18,36.5,48.5,76.15773106,76.15773106,5800,1
-68,18,42.5,48.5,70.34202158,70.34202158,4948,1
-62,18,48.5,48.5,64.56004957,64.56004957,4168,1
-56,18,53.5,49.5,58.82176468,60.08327554,3610,1.021446328
-50,18,59.5,49.5,53.14132102,54.4242593,2962,1.024142009
-44,18,64.5,49.5,47.5394573,49.76946855,2477,1.046908639
-38,18,69.5,50.5,42.04759208,45.61797891,2081,1.084912991
-32,18,74.5,50.5,36.7151195,41.18252056,1696,1.121677421
-26,18,80.3,51.5,31.6227766,36.8247539,1356.0625,1.164500966
-20,18,85.8,52.5,26.90724809,33.11438509,1096.5625,1.23068643
-14,18,92.0,53.5,22.8035085,29.51694429,871.25,1.294403635
-8,18,99.3,55.3,19.6977156,27.21176021,740.4798938,1.381467819
-2,18,107.0,55.5,18.11077028,25.24381112,637.25,1.393856293
4,18,116.5,55.5,18.43908891,25.70992026,661,1.394316193
10,18,124.3,54.5,20.59126028,27.65976319,765.0625,1.343276847
16,18,131.0,53.5,24.08318916,30.80990101,949.25,1.279311507
22,18,137.0,52.5,28.42534081,34.4419802,1186.25,1.211664635
28,18,142.5,51.5,33.28663395,38.27531842,1465,1.1498705
34,18,148.0,50.5,38.47076812,42.5,1806.25,1.104734895
40,18,153.3,49.7,43.8634244,46.90927723,2200.480291,1.069439468
46,18,158.5,49.5,49.39635614,51.623638,2665,1.045090003
52,18,163.5,49.5,55.02726597,56.30275304,3170,1.023179183
58,18,169.5,49.5,60.7289058,61.98386887,3842,1.020665004
64,18,174.5,48.5,66.48308055,66.48308055,4420,1
70,18,180.5,48.5,72.277244,72.277244,5224,1
76,18,186.5,48.5,78.10249676,78.10249676,6100,1
82,18,192.5,48.5,83.95236745,83.95236745,7048,1
88,18,198.5,48.5,89.82204629,89.82204629,8068,1
94,18,204.5,48.5,95.70788891,95.70788891,9160,1
